Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1744417293,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1744417294,10,,Aggregated,0.000000,0.000000,610,630,680,680,750,770,770,770,770,770,770,20,0,130.0,379.05968114209827,13.733398984186351,768.4750820044428,24718.0
1744417295,20,,Aggregated,0.000000,0.000000,130,450,510,620,680,710,770,770,770,770,770,42,0,120.0,292.27669882987226,9.06574900727719,768.4750820044428,23550.238095238095
1744417296,30,,Aggregated,0.000000,0.000000,95,400,470,510,630,680,750,770,770,770,770,79,0,95,237.12511429905044,9.06574900727719,768.4750820044428,18820.063291139242
1744417297,30,,Aggregated,10.000000,0.000000,80,130,450,470,620,680,750,770,770,770,770,92,0,70,205.11659009397314,8.014689025003463,768.4750820044428,16188.260869565218
1744417298,30,,Aggregated,14.000000,0.000000,46,99,360,450,580,660,710,750,770,770,770,112,0,46,170.48020169438263,8.014689025003463,768.4750820044428,13332.32142857143
1744417299,30,,Aggregated,19.750000,0.000000,20,80,120,400,520,630,710,750,770,770,770,134,0,18,144.93036964029045,8.014689025003463,768.4750820044428,11175.44776119403
1744417300,30,,Aggregated,18.400000,0.000000,13,59,99,150,510,630,680,750,770,770,770,155,0,13,126.91533615279403,8.014689025003463,768.4750820044428,9687.774193548386
1744417301,30,,Aggregated,18.666667,0.000000,13,42,85,110,480,620,680,750,770,770,770,174,0,13,114.25867859052023,8.014689025003463,768.4750820044428,8651.206896551725
1744417302,30,,Aggregated,19.142857,0.000000,13,31,69,95,470,620,680,750,770,770,770,196,0,13,103.46609248889001,8.014689025003463,768.4750820044428,7702.040816326531
1744417304,30,,Aggregated,19.500000,0.000000,13,20,59,86,450,610,680,710,770,770,770,212,0,13,96.82347974987077,8.014689025003463,768.4750820044428,7135.471698113208
